Key	English	Spanish	French	Italian	German	Russian	Japanese
int_gravemessage_2	Strange runes adorn the grave marker.	Runas extrañas adornan la lápida.	D'étranges runes ornent la pierre tombale.	Strane rune adornano la lapide.	Seltsame Runen zieren den Grabstein.	Надгробный камень украшен странными рунами.	墓石には奇妙なルーン文字が刻まれている。
int_gravemessage_1	You recognize few of these runes. Some appear to be defaced intentionally.	Reconoces pocas de estas runas. Algunas parecen estar desfiguradas intencionalmente.	Vous ne reconnaissez que peu de ces runes. Certaines semblent avoir été intentionnellement défigurées.	Riconoscete poche di queste rune. Alcune sembrano essere state rovinate intenzionalmente.	Sie erkennen nur wenige dieser Runen. Einige scheinen absichtlich unkenntlich gemacht worden zu sein.	Вы узнаете лишь некоторые из этих рун. Некоторые, похоже, намеренно испорчены.	これらのルーン文字のほとんどが見覚えがありません。中には意図的に汚損されているものもあります。
int_gravemessage_0	Part of a name is visible. "Loran..."	Se ve parte de un nombre: "Loran..."	Une partie d'un nom est visible. « Loran… »	È visibile parte del nome. "Loran..."	Ein Teil eines Namens ist sichtbar. „Loran …“	Видна часть имени. «Лоран...»	名前の一部が見えています。「ロラン…」
int_getwood	Scrape Bark	Raspar la corteza	Écorce de grattage	Raschiare la corteccia	Rinde abkratzen	Скрести кору	樹皮を削る
int_opendoor	Open Door	Puerta abierta	Porte ouverte	Porta aperta	Offene Tür	Открытая дверь	開かれた扉
int_trydoor	Try Door	Puerta de prueba	Essayez la porte	Prova Porta	Versuchen Sie es mit der Tür	Попробуйте дверь	ドアを試す
int_doorlocked	Door is locked.	La puerta está cerrada.	La porte est verrouillée.	La porta è chiusa a chiave.	Die Tür ist verschlossen.	Дверь заперта.	ドアは施錠されています。
int_lootanimal	Gut	Intestino	Intestin	Intestino	Darm	Кишечник	腸
int_loot	Search	Buscar	Recherche	Ricerca	Suchen	Поиск	検索
int_talk	Talk	Hablar	Parler	Parlare	Sprechen	Разговаривать	話す
int_sheepymessage0	I'm a sheep. Have some meat beacuse of that	Soy una oveja. Comeré algo de carne por eso.	Je suis un mouton. Mange de la viande à cause de ça.	Sono una pecora. Prendi un po' di carne per questo	Ich bin ein Schaf. Iss deswegen etwas Fleisch	Я овца. Вот за это и ешь мясо.	私は羊です。だから肉を食べましょう
int_sheepytalk0	Meat?	¿Carne?	Viande?	Carne?	Fleisch?	Мясо?	肉？
int_sheepymessage1	EWWW you have meat?	¡¿EWWW tienes carne?!	BEURK, tu as de la viande ?	EWWW hai della carne?	Igitt, du hast Fleisch?	Фууу, у тебя есть мясо?	うわあ、肉あるの？
